request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_40,808.0,affordable_later,wait,2024-06-15:1290.3,2024-06-15,none,"Pay EUR 1,290.30 in full on 15 June 2024."
request_41,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 38,760,000.00 request."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100.00 today. This leaves at least INR 113,100.00 available over the next 90 days."
request_43,12129266.98,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000.00 in full on 15 November 2024."
request_44,63639.45,affordable_later,wait,2025-02-15:95800,2025-02-15,none,"Pay INR 95,800.00 in full on 15 February 2025."
request_45,6454643.79,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,"Pay IDR 21,983,000.00 in full on 15 August 2026."
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25,714.00, starting 3 December 2024."
request_47,37047573.21,affordable_with_plan,full_payment,2025-05-05:38114000,2025-07-26,stop:event_4339|stop:event_4340,"Make required spending changes (stop:event_4339|stop:event_4340) and pay IDR 38,114,000.00 today."
request_48,7293.86,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 45,700.00 request."
request_49,16526367.09,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900.00 today. This leaves at least INR 99,700.00 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000.00 today. This leaves at least IDR 7,811,000.00 available over the next 90 days."
request_52,28777.86,affordable_with_plan,full_payment,2024-06-05:28870,2024-06-15,stop:event_4858,"Make required spending changes (stop:event_4858) and pay INR 28,870.00 today."
request_53,1346.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025."
request_54,11452.2,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528.00 request."
request_55,154946.57,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026."
request_56,881.56,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-03,none,"Use 2 installments of USD 458.42, starting 3 February 2025."
request_57,16640.57,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446.00 in full on 15 June 2026."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000.00 today. This leaves at least IDR 14,433,900.00 available over the next 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. This leaves at least USD 400.00 available over the next 90 days.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300.00 available over the next 90 days."
request_63,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900.00 request."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 63,700.00 request."
request_65,10910.04,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340.00 request."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200.00 today. This leaves at least INR 80,700.00 available over the next 90 days."
request_67,608.7,affordable_later,wait,2024-10-15:2094,2024-10-15,none,"Pay USD 2,094.00 in full on 15 October 2024."
request_68,2091.6,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-07,none,"Use 3 installments of USD 725.09, starting 14 February 2025."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700.00 available over the next 90 days.
request_70,78702.21,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900.00 in full on 15 February 2025."
request_71,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000.00 request."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330.00 today. This leaves at least ZAR 12,200.00 available over the next 90 days."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400.00 today. This leaves at least INR 103,200.00 available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010.00 today. This leaves at least ZAR 21,900.00 available over the next 90 days."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026."
request_76,1228.68,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4,455.60 request."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700.00 today. This leaves at least INR 82,200.00 available over the next 90 days."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Pay INR 50,200.00 today. This leaves at least INR 55,200.00 available over the next 90 days."
request_79,524.48,affordable_with_plan,partial_payment,2024-09-04:524.48|2024-10-15:1627.12,2024-10-15,none,"Pay EUR 524.48 today and remaining EUR 1,627.12 on 2024-10-15."
request_80,149770.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217,500.00 request."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076.00 today. This leaves at least USD 1,600.00 available over the next 90 days."
request_82,872.74,affordable_later,wait,2024-12-20:1405.2,2024-12-20,none,"Pay USD 1,405.20 in full on 20 December 2024."
request_83,20521.73,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200.00 request."
request_84,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 95,400.00 request."
request_85,1597777.22,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000.00 request."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300.00 today. This leaves at least INR 84,900.00 available over the next 90 days."
request_87,59500.09,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900.00 request."
request_88,15281.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024."
request_89,13564119.51,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560.00 today. This leaves at least ZAR 7,600.00 available over the next 90 days."
request_91,1011.22,affordable_later,wait,2024-09-15:1927.2,2024-09-15,none,"Pay EUR 1,927.20 in full on 15 September 2024."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034.00 today. This leaves at least ZAR 28,100.00 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900.00 available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572.00 today. This leaves at least EUR 600.00 available over the next 90 days.
request_95,121935.22,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000.00 request."
request_96,90200.0,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-03,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026."
request_97,6460.44,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 23,496.00 request."
request_98,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 27,148.00 request."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062.00 today. This leaves at least ZAR 49,100.00 available over the next 90 days."
request_100,33581.03,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500.00 today. This leaves at least INR 187,400.00 available over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026."
request_103,21711.66,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300.00 request."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204.00 today. This leaves at least ZAR 24,700.00 available over the next 90 days."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500.00 today. This leaves at least INR 73,900.00 available over the next 90 days."
request_106,754.84,affordable_later,wait,2025-01-15:2207.7,2025-01-15,none,"Pay EUR 2,207.70 in full on 15 January 2025."
request_107,2534.4,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-05,none,"Use 3 installments of EUR 878.59, starting 8 May 2025."
request_108,6993.8,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 55,308.00 request."
request_109,1008.7,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000.00 today. This leaves at least IDR 23,022,800.00 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500.00 available over the next 90 days.
request_113,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 36,500.00 request."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Pay INR 65,300.00 today. This leaves at least INR 113,400.00 available over the next 90 days."
request_115,22971.71,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500.00 in full on 15 November 2024."
request_116,50090.16,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200.00 request."
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880.00 today. This leaves at least EUR 1,000.00 available over the next 90 days."
request_118,738.1,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-07,none,"Use 3 installments of EUR 255.87, starting 7 December 2024."
request_119,109522.71,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-05-15,none,"Use 3 installments of INR 70,546.67, starting 18 May 2025."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000.00 today. This leaves at least IDR 20,050,300.00 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800.00 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000.00 today. This leaves at least IDR 18,091,200.00 available over the next 90 days."
request_124,1865.4,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1,076.12, starting 11 June 2024."
request_125,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 6,468.00 request."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600.00 today. This leaves at least INR 129,700.00 available over the next 90 days."
request_127,20284.55,affordable_later,wait,2024-09-15:23980,2024-09-15,none,"Pay ZAR 23,980.00 in full on 15 September 2024."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168.00 today. This leaves at least ZAR 42,600.00 available over the next 90 days."
request_129,197.24,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request."
request_130,663.31,affordable_later,wait,2025-01-15:1978.8,2025-01-15,none,"Pay USD 1,978.80 in full on 15 January 2025."
request_131,1813.1,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-23,none,"Use 3 installments of USD 643.14, starting 6 May 2025."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,"Pay USD 379.86 today. This leaves at least USD 1,100.00 available over the next 90 days."
request_133,15770000.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 15,770,000.00 request."
request_134,10459943.67,affordable_later,wait,2025-09-15:21831000,2025-09-15,none,"Pay IDR 21,831,000.00 in full on 15 September 2025."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.80 today. This leaves at least USD 500.00 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,"Pay USD 560.40 today. This leaves at least USD 1,100.00 available over the next 90 days."
request_137,56246.96,affordable_later,wait,2025-11-15:80100,2025-11-15,none,"Pay INR 80,100.00 in full on 15 November 2025."
request_138,955.53,affordable_with_plan,partial_payment,2026-04-07:955.53|2026-04-15:301.41,2026-04-15,none,Pay EUR 955.53 today and remaining EUR 301.41 on 2026-04-15.
request_139,1555.67,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 7 September 2024."
request_140,10298.2,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832.00 request."
request_141,39443.86,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600.00 request."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700.00 available over the next 90 days."
request_143,7522.4,affordable_later,wait,2025-05-15:12584,2025-05-15,none,"Pay ZAR 12,584.00 in full on 15 May 2025."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600.00 available over the next 90 days.
request_145,80023.43,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-20,none,"Use 3 installments of INR 75,365.33, starting 20 March 2024."
request_146,64269.18,affordable_later,wait,2025-10-15:449400,2025-10-15,none,"Pay INR 449,400.00 in full on 15 October 2025."
request_147,622.38,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026."
request_148,11625.68,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,"Use 3 installments of ZAR 7,710.56, starting 14 June 2024."
request_149,36652.0,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-04,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025."
request_150,446.16,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 6 January 2026."
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000.00 today. This leaves at least IDR 31,633,600.00 available over the next 90 days."
request_152,13882.0,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-05,none,"Use 3 installments of ZAR 4,812.43, starting 12 February 2025."
request_153,406.6,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500.00 today. This leaves at least INR 56,300.00 available over the next 90 days."
request_156,10841.2,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076.00 in full on 15 June 2026."
request_157,7411027.17,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000.00 in full on 15 May 2024."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398.00 today. This leaves at least ZAR 8,700.00 available over the next 90 days."
request_160,842.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024."
request_161,14670171.95,affordable_later,wait,2025-11-15:21204000,2025-11-15,none,"Pay IDR 21,204,000.00 in full on 15 November 2025."
request_162,5509407.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000.00 request."
request_163,18560048.46,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-20,none,"Use 3 installments of IDR 6,692,053.33, starting 10 September 2024."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240.00, starting 11 February 2025."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600.00 today. This leaves at least INR 95,000.00 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802.00 today. This leaves at least ZAR 31,200.00 available over the next 90 days."
request_168,49380.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 49,380.00 request."
request_169,5782.52,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 41,976.00 request."
request_170,36936000.0,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-06,none,"Use 3 installments of IDR 12,804,480.00, starting 6 August 2025."
request_171,231.19,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request."
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5,304.00, starting 5 June 2024."
request_173,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 113,000.00 request."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700.00 available over the next 90 days."
request_176,618.67,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,239.70 request."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300.00 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024."
request_179,20588069.84,affordable_later,wait,2025-05-15:41648000,2025-05-15,none,"Pay IDR 41,648,000.00 in full on 15 May 2025."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500.00 today. This leaves at least INR 37,300.00 available over the next 90 days."
request_181,954.65,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714.00 today. This leaves at least ZAR 31,100.00 available over the next 90 days."
request_183,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 26,866,000.00 request."
request_184,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900.00 request."
request_185,656.31,affordable_later,wait,2025-12-15:1257.3,2025-12-15,none,"Pay EUR 1,257.30 in full on 15 December 2025."
request_186,11819.32,affordable_later,wait,2026-01-15:26554,2026-01-15,none,"Pay ZAR 26,554.00 in full on 15 January 2026."
request_187,59476.87,affordable_later,wait,2024-10-15:187500,2024-10-15,none,"Pay INR 187,500.00 in full on 15 October 2024."
request_188,549.3,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,464.00 request."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400.00 available over the next 90 days.
request_190,1307.67,affordable_later,wait,2025-01-15:2557.5,2025-01-15,none,"Pay EUR 2,557.50 in full on 15 January 2025."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500.00 available over the next 90 days.
request_192,141.17,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,046.00 request."
request_193,243.62,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,212.20 request."
request_194,85641.05,affordable_later,wait,2025-08-23:132800,2025-08-23,none,"Pay INR 132,800.00 in full on 23 August 2025."
request_195,1170.4,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-06,none,"Use 3 installments of EUR 405.74, starting 9 January 2026."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500.00 available over the next 90 days.
request_197,50939000.0,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of IDR 17,658,853.33, starting 19 November 2025."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800.00 today. This leaves at least INR 124,300.00 available over the next 90 days."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 7 September 2024."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000.00 today. This leaves at least IDR 20,114,600.00 available over the next 90 days."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000.00 today. This leaves at least IDR 17,304,500.00 available over the next 90 days."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900.00 today. This leaves at least INR 147,800.00 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,"Pay EUR 588.74 today. This leaves at least EUR 1,300.00 available over the next 90 days."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000.00 today. This leaves at least IDR 13,994,300.00 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025."
request_207,10594.27,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830.00 in full on 15 July 2026."
request_208,4413000.0,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,"Pay IDR 4,413,000.00 today. This leaves at least IDR 10,470,700.00 available over the next 90 days."
request_209,6286.18,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56,914.00 request."
request_210,1115.14,affordable_with_plan,partial_payment,2026-04-06:1115.14|2026-04-15:244.88,2026-04-15,none,"Pay USD 1,115.14 today and remaining USD 244.88 on 2026-04-15."
request_211,591.04,affordable_later,wait,2024-09-15:1788.6,2024-09-15,none,"Pay EUR 1,788.60 in full on 15 September 2024."
request_212,19931722.13,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71,934,000.00 request."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1,165.63, starting 21 January 2026."
